"0","56","3","Drop use dream poor arm","Black everyone official up material country","https://tse1.mm.bing.net/th/id/OIP.EOOrPV6jTK3b2pytL2FHEgHaHa?w=167&h=180&c=7&r=0&o=5&pid=1.7","93.24"
"1","55","1","Or box citizen former","Most walk study career including","https://tse2.mm.bing.net/th/id/OIP.pexeZu9gC9s3SOYCrKtP4QHaHa?w=194&h=194&c=7&r=0&o=5&pid=1.7","93.83"
"2","18","1","Figure customer top just","Education sit performance policy debate relationship what","https://tse2.mm.bing.net/th/id/OIP.HX64yzGiNuj2BpVVS3sYpAHaH5?w=188&h=200&c=7&r=0&o=5&pid=1.7","13.2"
"3","96","2","Meet small road wind","Low even investment cultural responsibility bag","https://tse4.mm.bing.net/th/id/OIP.2L5Gif2sQumlyy13cKIW9gHaE8?w=217&h=180&c=7&r=0&o=5&pid=1.7","175.63"
"4","49","3","Television indicate gas sort","Amount maybe figure off reason watch argue","https://tse2.mm.bing.net/th/id/OIP.y52pnz3ePGPpWaiH0IPclAHaH5?w=170&h=181&c=7&r=0&o=5&pid=1.7","84.67"
"5","41","2","Edge response cultural lot player","Concern than establish series development sit","https://tse3.mm.bing.net/th/id/OIP.85mWRimng6OxhExDE_hcEwHaG-?w=183&h=180&c=7&r=0&o=5&pid=1.7","392.06"
"6","75","3","Tree suddenly information least","Program because account final discover success","https://tse3.mm.bing.net/th/id/OIP.s4LwJYZit70p6qTXU8LuLwHaFj?w=194&h=146&c=7&r=0&o=5&pid=1.7","343.89"
"7","99","1","Throughout commercial interest","Suggest wish travel admit allow reduce everybody especially","https://tse1.mm.bing.net/th/id/OIP.JN_fN7uMBbszNq_ePKGYTwHaHa?w=194&h=195&c=7&r=0&o=5&pid=1.7","299.14"
"8","25","1","Against despite","Protect property red month truth follow particular","https://tse4.mm.bing.net/th/id/OIP.rzQbFYARQep43FNSv0lj0AHaFb?w=194&h=143&c=7&r=0&o=5&pid=1.7","36.82"
"9","61","3","Require pick just officer down","Southern name nature order story argue page important","https://tse2.mm.bing.net/th/id/OIP.BGp1fxXPUcvijl4NeY0j0AHaLH?w=120&h=180&c=7&r=0&o=5&pid=1.7","452.47"
