"1","56","0","66","93.24","2025-01-13 23:29:35","2025-01-13 23:29:35"
"2","55","1","70","93.83","2024-09-28 02:53:33","2024-09-28 02:53:33"
"3","18","2","12","13.2","2025-04-18 08:06:50","2025-04-18 08:06:50"
"4","96","3","47","175.63","2025-03-26 18:09:20","2025-03-26 18:09:20"
"5","49","4","69","84.67","2025-03-01 02:38:50","2025-03-01 02:38:50"
"6","41","5","16","392.06","2024-06-07 03:35:59","2024-06-07 03:35:59"
"7","75","6","90","343.89","2024-06-19 19:36:30","2024-06-19 19:36:30"
"8","99","7","6","299.14","2025-02-22 18:39:52","2025-02-22 18:39:52"
"9","25","8","6","36.82","2024-12-03 11:57:14","2024-12-03 11:57:14"
"10","61","9","37","452.47","2025-03-22 20:19:27","2025-03-22 20:19:27"
"11","3","10","81","493.77","2024-12-25 16:44:44","2024-12-25 16:44:44"
"12","94","11","46","151.08","2025-01-20 23:37:30","2025-01-20 23:37:30"
"13","29","12","6","330.84","2024-12-02 09:58:27","2024-12-02 09:58:27"
"14","94","13","49","67.2","2024-10-21 11:58:09","2024-10-21 11:58:09"
"15","64","14","55","381.85","2024-10-02 08:40:40","2024-10-02 08:40:40"
"16","83","15","68","346.85","2024-09-12 14:58:51","2024-09-12 14:58:51"
"17","10","16","24","278.18","2024-06-05 23:49:38","2024-06-05 23:49:38"
"18","92","17","13","412.56","2024-10-18 10:47:58","2024-10-18 10:47:58"
"19","40","18","97","89.2","2025-04-12 12:38:15","2025-04-12 12:38:15"
"20","28","19","59","49.62","2025-02-22 08:22:51","2025-02-22 08:22:51"
"21","49","20","63","138.36","2025-03-27 00:28:46","2025-03-27 00:28:46"
"22","67","21","91","416.67","2024-11-25 19:03:29","2024-11-25 19:03:29"
"23","8","22","29","153.75","2024-12-02 20:33:32","2024-12-02 20:33:32"
"24","60","23","91","161.81","2024-11-07 10:59:48","2024-11-07 10:59:48"
"25","22","24","80","297.69","2024-06-25 02:04:26","2024-06-25 02:04:26"
"26","58","25","47","13.12","2024-10-03 11:36:58","2024-10-03 11:36:58"
"27","18","26","26","170.02","2024-09-20 21:56:07","2024-09-20 21:56:07"
"28","42","27","32","49.97","2024-09-13 19:17:29","2024-09-13 19:17:29"
"29","75","28","59","167.01","2024-07-23 01:57:47","2024-07-23 01:57:47"
"30","12","29","64","370.22","2024-07-29 01:03:41","2024-07-29 01:03:41"
"31","20","30","55","174.95","2024-10-17 06:16:31","2024-10-17 06:16:31"
"32","73","31","75","88.8","2024-11-04 03:41:28","2024-11-04 03:41:28"
"33","58","32","87","192.97","2024-06-10 23:33:48","2024-06-10 23:33:48"
"34","10","33","97","249.05","2024-05-01 16:13:29","2024-05-01 16:13:29"
"35","7","34","5","465.93","2025-02-13 23:53:02","2025-02-13 23:53:02"
"36","15","35","29","183.07","2025-02-25 16:46:26","2025-02-25 16:46:26"
"37","16","36","36","244.42","2024-09-14 09:33:12","2024-09-14 09:33:12"
"38","17","37","22","465.68","2024-11-07 15:07:49","2024-11-07 15:07:49"
"39","19","38","38","124.22","2025-01-31 16:53:52","2025-01-31 16:53:52"
"40","82","39","22","428.01","2024-07-25 17:22:41","2024-07-25 17:22:41"
"41","94","40","70","208.29","2025-04-24 08:04:07","2025-04-24 08:04:07"
"42","52","41","79","307.91","2024-12-09 09:34:53","2024-12-09 09:34:53"
"43","4","42","75","114.01","2024-12-27 00:24:21","2024-12-27 00:24:21"
"44","2","43","45","65.91","2025-02-28 09:59:51","2025-02-28 09:59:51"
"45","54","44","26","139.45","2024-10-03 23:26:27","2024-10-03 23:26:27"
"46","77","45","100","121.65","2024-07-21 22:02:46","2024-07-21 22:02:46"
"47","82","46","14","393.61","2024-05-30 23:41:33","2024-05-30 23:41:33"
"48","15","47","68","237.12","2024-08-06 19:05:53","2024-08-06 19:05:53"
"49","98","48","23","476.39","2024-07-22 11:29:37","2024-07-22 11:29:37"
"50","19","49","44","134.84","2025-01-05 02:19:44","2025-01-05 02:19:44"
"51","98","50","41","33.94","2024-07-17 07:45:04","2024-07-17 07:45:04"
"52","79","51","70","388.38","2025-01-21 17:21:06","2025-01-21 17:21:06"
"53","4","52","32","207.62","2024-09-19 19:37:45","2024-09-19 19:37:45"
"54","80","53","47","95.33","2024-08-23 09:14:28","2024-08-23 09:14:28"
"55","25","54","8","490.85","2024-08-20 14:47:39","2024-08-20 14:47:39"
"56","23","55","75","203.44","2024-09-17 14:02:40","2024-09-17 14:02:40"
"57","30","56","70","440.35","2025-04-24 22:58:01","2025-04-24 22:58:01"
"58","25","57","4","255.71","2024-06-07 10:16:55","2024-06-07 10:16:55"
"59","48","58","67","95.78","2024-09-13 09:16:22","2024-09-13 09:16:22"
"60","42","59","51","484.6","2024-06-22 21:42:07","2024-06-22 21:42:07"
"61","83","60","67","9.67","2024-10-31 06:59:20","2024-10-31 06:59:20"
"62","27","61","15","412.43","2025-01-18 02:10:20","2025-01-18 02:10:20"
"63","72","62","68","430.87","2024-11-05 15:53:14","2024-11-05 15:53:14"
"64","55","63","74","337.22","2024-06-17 08:46:03","2024-06-17 08:46:03"
"65","20","64","38","279.04","2024-10-05 18:17:57","2024-10-05 18:17:57"
"66","78","65","63","169.64","2025-03-28 19:22:00","2025-03-28 19:22:00"
"67","2","66","5","65.37","2024-11-13 20:38:15","2024-11-13 20:38:15"
"68","72","67","78","199.09","2024-10-23 06:33:32","2024-10-23 06:33:32"
"69","45","68","8","245.27","2024-07-12 02:48:10","2024-07-12 02:48:10"
"70","52","69","10","100.71","2024-09-23 17:50:22","2024-09-23 17:50:22"
"71","77","70","33","260.11","2025-04-21 00:36:02","2025-04-21 00:36:02"
