"0","38","1837","2016-06-19 03:54:16"
"1","10","1374","1977-12-21 15:57:27"
"2","24","100","2023-08-16 06:53:36"
"3","73","152","1983-07-15 14:48:52"
"4","67","1210","2011-05-25 20:28:22"
"5","58","903","1999-11-20 19:06:54"
"6","41","1155","1970-01-15 10:44:02"
"7","54","1373","2022-10-14 17:08:07"
"8","9","998","1971-07-01 12:56:39"
"9","37","985","2012-03-02 17:12:37"
"10","62","1679","2007-04-06 05:44:21"
"11","39","1470","1999-12-17 07:12:27"
"12","36","1042","1981-03-09 21:55:15"
"13","0","1010","1985-09-16 17:19:16"
"14","39","1537","2021-09-29 12:05:27"
"15","31","1910","2015-07-19 23:15:19"
"16","90","995","2021-12-29 11:28:08"
"17","88","1476","1983-04-20 23:51:20"
"18","1","804","2020-04-26 00:21:34"
"19","60","700","1989-04-01 16:38:27"
"20","50","108","1993-02-15 17:26:47"
"21","63","739","2019-06-08 02:41:14"
"22","20","817","1970-05-16 13:00:25"
"23","76","1333","2008-11-16 03:16:45"
"24","38","914","1989-08-28 10:50:59"
"25","32","152","1983-11-19 23:29:34"
"26","52","1689","2006-01-17 08:44:48"
"27","43","1785","1980-01-16 14:09:45"
"28","27","1978","2019-08-29 14:21:12"
"29","65","177","1986-02-13 00:30:34"
"30","66","50","2003-10-05 04:49:10"
"31","0","175","1971-09-24 11:57:35"
"32","74","243","1973-02-24 12:32:59"
"33","48","141","2016-04-13 04:16:21"
"34","84","322","1983-03-24 05:08:54"
"35","40","125","2008-03-27 02:49:58"
"36","17","122","1996-04-25 15:03:49"
"37","29","520","1975-07-27 19:50:07"
"38","71","246","2002-07-14 05:37:42"
"39","19","1421","2013-06-05 10:03:18"
"40","12","1764","2015-01-26 14:01:02"
"41","32","1840","2012-11-06 17:54:53"
"42","39","1602","1998-04-19 05:04:00"
"43","39","941","1971-01-06 18:03:06"
"44","49","1191","1970-02-06 10:59:22"
"45","35","1641","2024-01-19 06:50:27"
"46","45","585","2011-04-24 02:22:59"
"47","22","525","2022-09-27 08:20:32"
"48","99","788","2008-02-05 20:22:37"
"49","71","1772","1977-02-19 12:06:31"
"50","16","717","2013-08-17 10:57:39"
"51","99","565","2010-11-16 06:44:48"
"52","24","241","1974-09-15 11:45:05"
"53","66","60","1998-04-07 12:24:52"
"54","45","1567","1987-01-09 01:29:00"
"55","97","556","1978-08-16 11:25:41"
"56","32","246","1971-02-14 14:17:41"
"57","26","634","2012-03-31 20:28:35"
"58","31","919","1975-01-29 08:55:06"
"59","64","634","2023-08-10 11:51:06"
"60","8","602","2024-12-15 05:14:01"
"61","92","784","1987-01-31 06:15:17"
"62","6","1079","2000-05-29 10:32:31"
"63","73","413","2013-06-07 19:56:02"
"64","80","1054","1978-06-08 16:43:01"
"65","88","1361","2011-11-24 11:26:55"
"66","42","1114","1985-05-12 00:39:23"
"67","5","1740","2023-01-28 14:04:19"
"68","43","179","1996-07-30 21:59:28"
"69","10","58","1999-02-11 04:52:40"
"70","41","922","2007-02-05 01:22:34"
"71","79","168","2001-12-26 18:06:36"
"72","93","588","2021-10-31 08:38:25"
"73","96","748","1971-09-07 09:02:15"
"74","48","1909","1990-01-26 19:31:35"
"75","80","434","2012-02-07 15:03:48"
"76","30","1399","2020-02-18 19:18:02"
"77","71","1611","1977-06-05 12:40:01"
"78","66","727","1995-01-21 10:54:59"
"79","71","438","2000-03-16 12:23:44"
"80","49","1519","1991-12-28 14:25:49"
"81","31","894","1991-10-19 21:18:33"
"82","65","1042","1976-07-31 04:39:14"
"83","8","613","1977-10-17 06:13:17"
"84","97","775","2004-01-13 10:52:09"
"85","62","151","1988-07-17 08:24:43"
"86","96","619","1976-03-14 20:37:26"
"87","58","767","2012-06-02 21:55:33"
"88","96","643","1972-02-04 21:40:31"
"89","73","1977","1982-01-14 08:43:09"
"90","96","1363","1993-03-28 04:42:35"
"91","6","1885","2002-06-12 07:47:33"
"92","16","1314","1989-02-16 10:49:48"
"93","36","262","2011-07-20 22:10:42"
"94","17","1372","1999-10-30 03:58:53"
"95","92","1709","2003-10-23 09:39:34"
"96","55","1251","1979-07-11 15:52:23"
"97","0","1208","2015-12-25 16:57:48"
"98","84","735","1982-07-19 21:32:14"
"99","35","602","1974-09-19 14:01:54"
"100","91","1469","1979-01-30 10:42:21"
"101","30","1473","1988-07-18 16:17:53"
"102","7","889","2006-07-16 01:41:01"
